id,toa,qyes_total,qno_total,mask_prop,med_prop,group,final_score,status
445,,0.0,1.0,0.0,0.0,,,not_infected
446,3.0,0.0,6.0,0.06666666666666667,0.0,,,infected
447,4.0,0.0,2.0,0.06666666666666667,0.0,,,infected
448,4.0,1.0,4.0,0.0,0.0,,,infected
449,,0.0,0.0,0.0,0.0,,,not_infected
450,,0.0,6.0,0.0,0.0,,,not_infected
451,,0.0,0.0,0.0,0.0,,,not_infected
452,3.0,1.0,5.0,0.2,0.0,,,infected
453,3.0,0.0,1.0,0.06666666666666667,0.0,,,infected
454,,0.0,0.0,0.0,0.0,,,not_infected
455,3.0,0.0,0.0,0.0,0.0,,,infected
456,3.0,0.0,8.0,0.0,0.0,,,infected
457,,0.0,0.0,0.0,0.0,,,not_infected
458,5.0,1.0,0.0,0.0,0.0,,,infected
459,6.0,0.0,4.0,0.06666666666666667,0.0,,,infected
460,,0.0,6.0,0.0,0.0,,,not_infected
461,4.0,2.0,5.0,0.06666666666666667,0.06666666666666667,,,infected
462,,0.0,0.0,0.0,0.0,,,not_infected
463,3.0,0.0,5.0,0.06666666666666667,0.0,,,infected
464,5.0,0.0,6.0,0.0,0.06666666666666667,,,infected
465,3.0,0.0,1.0,0.0,0.0,,,infected
466,5.0,0.0,2.0,0.0,0.0,,,infected
467,3.0,0.0,2.0,0.0,0.0,,,infected
468,5.0,7.0,1.0,0.0,0.0,,,infected
469,,0.0,0.0,0.0,0.0,,,not_infected
470,3.0,0.0,9.0,0.0,0.0,,,infected
471,12.0,0.0,6.0,0.0,0.0,,,infected
472,3.0,0.0,0.0,0.0,0.0,,,infected
473,2.0,0.0,1.0,0.0,0.0,,,infected
474,,0.0,4.0,0.0,0.0,,,not_infected
